block_date,first_block_height,last_block_height
2025-06-17,47707153,47789611
2025-06-18,47789612,47870735
2025-06-19,47870736,47949979
2025-06-20,47949980,48030915
2025-06-21,48030916,48112289
2025-06-22,48112290,48191295
2025-06-23,48191296,48270422
2025-06-24,48270423,48350867
2025-06-25,48350868,48431855
2025-06-26,48431856,48514417
2025-06-27,48514418,48596125
2025-06-28,48596126,48678907
2025-06-29,48678908,48765994
2025-06-30,48765995,48852643
2025-07-01,48852644,48939910
2025-07-02,48939911,49028198
2025-07-03,49028199,49116640
2025-07-04,49116641,49204081
2025-07-05,49204082,49290888
2025-07-06,49290889,49377373
2025-07-07,49377374,49464001
2025-07-08,49464002,49552623
2025-07-09,49552624,49641735
2025-07-10,49641736,49730528
2025-07-11,49730529,49819063
2025-07-12,49819064,49906673
2025-07-13,49906674,49993813
2025-07-14,49993814,50081627
2025-07-15,50081628,50169346
2025-07-16,50169347,50255709
2025-07-17,50255710,50341748
2025-07-18,50341749,50430802
2025-07-19,50430803,50519904
2025-07-20,50519905,50607878
2025-07-21,50607879,50696576
2025-07-22,50696577,50784844
2025-07-23,50784845,50870572
2025-07-24,50870573,50956396
2025-07-25,50956397,51042882
2025-07-26,51042883,51128307
2025-07-27,51128308,51209439
2025-07-28,51209440,51291863
2025-07-29,51291864,51374067
2025-07-30,51374068,51456801
2025-07-31,51456802,51542986
2025-08-01,51542987,51628291
2025-08-02,51628292,51715325
2025-08-03,51715326,51805758
2025-08-04,51805759,51894909
2025-08-05,51894910,51983740
2025-08-06,51983741,52073296
2025-08-07,52073297,52162159
2025-08-08,52162160,52248382
2025-08-09,52248383,52335519
2025-08-10,52335520,52421564
2025-08-11,52421565,52507262
2025-08-12,52507263,52592176
2025-08-13,52592177,52676552
2025-08-14,52676553,52762720
2025-08-15,52762721,52852231
2025-08-16,52852232,52943360
2025-08-17,52943361,53038583
2025-08-18,53038584,53127386
2025-08-19,53127387,53216295
2025-08-20,53216296,53307249
2025-08-21,53307250,53398769
2025-08-22,53398770,53489004
2025-08-23,53489005,53579021
2025-08-24,53579022,53669317
2025-08-25,53669318,53758738
2025-08-26,53758739,53849697
2025-08-27,53849698,53941396
2025-08-28,53941397,54033354
2025-08-29,54033355,54123859
2025-08-30,54123860,54215511
2025-08-31,54215512,54305113
2025-09-01,54305114,54394089
2025-09-02,54394090,54484711
2025-09-03,54484712,54577827
2025-09-04,54577828,54670167
2025-09-05,54670168,54761099
2025-09-06,54761100,54853421
2025-09-07,54853422,54945170
2025-09-08,54945171,55036855
2025-09-09,55036856,55135549
2025-09-10,55135550,55235235
2025-09-11,55235236,55328672
2025-09-12,55328673,55421436
2025-09-13,55421437,55514213
2025-09-14,55514214,55606294
2025-09-15,55606295,55699056
2025-09-16,55699057,55796079
2025-09-17,55796080,55893498
2025-09-18,55893499,55989588
2025-09-19,55989589,56084885
2025-09-20,56084886,56185293
2025-09-21,56185294,56291761
2025-09-22,56291762,56395625
2025-09-23,56395626,56501864
2025-09-24,56501865,56606178
2025-09-25,56606179,56708278
2025-09-26,56708279,56813460
2025-09-27,56813461,56929574
2025-09-28,56929575,57045320
2025-09-29,57045321,57159905
2025-09-30,57159906,57272806
2025-10-01,57272807,57385929
2025-10-02,57385930,57496022
2025-10-03,57496023,57608939
2025-10-04,57608940,57723269
2025-10-05,57723270,57837648
2025-10-06,57837649,57956776
2025-10-07,57956777,58090725
2025-10-08,58090726,58230911
2025-10-09,58230912,58370643
2025-10-10,58370644,58492683
2025-10-11,58492684,58607723
