validator_moniker,block_date,num_blocks_proposed,empty_block_pct,rolling_7day_avg_empty_block_pct
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-14,960,0.64270833333333333,0.37608235136172879
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-15,930,0.59247311827956994,0.4069833963861233
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-16,925,0.48864864864864865,0.47588618706106589
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-17,918,0.27668845315904139,0.50426400830171381
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-18,912,0.22368421052631579,0.46813505428295205
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-19,881,0.22360953461975028,0.42819862251976992
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-20,885,0.11751412429378531,0.36647520326577782
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-21,938,0.0,0.27465972707530162
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-22,934,0.0,0.1900207101782202
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-23,941,0.012752391073326248,0.12203553052460271
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-24,928,0.0334051724137931,0.0872807761324244
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-25,944,0.05190677966101695,0.062741143151667414
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-26,946,0.075052854122621568,0.041518760223506167
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-27,918,0.38344226579520696,0.079508494723709258
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-28,919,0.37976060935799782,0.13376001034628038
1BDBD17A3E0612F2FCAEB2A45B4C786D8BD271E6,2024-09-29,927,0.0043149946062567418,0.1343764381471742
